Freestream Mach,Angle of Attack (deg),Exchanger Mach,Exchanger Static Pressure (kPa),Exchanger Total Pressure (kPa),Exchanger Static Temperature (K),Exchanger Total Temperature (K)
4,-4,0.43,88.791,100.661,854.888,885.0
4,-2,0.429,87.352,98.948,855.251,885.0
4,0,0.428,86.159,97.516,855.612,885.0
4,2,0.427,84.427,95.477,855.971,885.0
4,4,0.426,81.227,91.776,856.403,885.0
4,6,0.425,79.691,89.967,856.758,885.0
4.5,-4,0.418,85.914,96.74,1017.79,1051.667
4.5,-2,0.417,83.849,94.339,1018.204,1051.667
4.5,0,0.416,82.114,92.314,1018.615,1051.667
4.5,2,0.416,80.05,89.972,1018.871,1051.667
4.5,4,0.415,76.656,86.089,1019.279,1051.667
4.5,6,0.414,74.851,83.996,1019.684,1051.667
5,-4,0.409,83.608,93.669,1199.649,1237.778
5,-2,0.408,80.391,89.988,1200.217,1237.778
5,0,0.407,78.016,87.262,1201.223,1238.333
5,2,0.407,76.172,85.186,1201.416,1238.333
5,4,0.405,72.01,80.42,1202.15,1238.333
5,6,0.405,70.368,78.574,1202.341,1238.333
5.5,-4,0.403,82.479,92.096,1394.849,1437.778
5.5,-2,0.401,78.27,87.276,1396.236,1438.333
5.5,0,0.4,74.651,83.178,1396.765,1438.333
5.5,2,0.4,72.404,80.656,1397.091,1438.333
5.5,4,0.398,66.859,74.378,1397.921,1438.333
5.5,6,0.397,64.424,71.616,1398.439,1438.333
6,-4,0.397,81.504,90.703,1604.013,1651.667
6,-2,0.396,76.04,84.552,1604.735,1651.667
6,0,0.395,70.497,78.325,1605.451,1651.667
6,2,0.394,68.821,76.411,1605.921,1651.667
6,4,0.392,61.384,68.058,1606.972,1651.667
6,6,0.391,58.489,64.801,1607.552,1651.667
