Flight Mach Number,Angle of Attack (deg),Yaw Angle (deg),Dynamic Pressure (psf),Altitude (ft),Freestream Pressure (psia),Freestream Total Pressure (psia),Freestream Temperature (deg R),Freestream Total Temperature (deg R),Freestream Equilibrium Gamma,Freestream Velocity (ft/s),,Physical Capture Area (in^2),Effective Streamtube Capture (in^2),Inlet Mass Capture Ratio,Physical Contraction Ratio,Throat Area (in^2),Effective Streamtube Contraction Ratio,Freestream Mass Flow Rate (lbm/s),Captured Mass Flow Rate (lbm/s),Bypassed Airflow (lbm/s),Kinetic Energy Efficiency,,Throat Pressure (psia),Throat Total Pressure (psia),Throat Temperature (deg R),Throat Total Temperature (deg R),Throat Mach Number,Throat Gamma,Throat Velocity (ft/s),,Isolator Heat Loss (BTU/lbm),Isolator Exit Area (in^2),Normal Shock Pressure Ratio,Isolator Pressure Ratio,,Inlet Axial Force (lbf),Inlet Axial Force Coefficient,Inlet Normal Force (lbf),Inlet Normal Force Coefficient
M0,Alpha,Beta,q0,H,P0,Pt0,T0,Tt0,Gamma0,V0,,AC,A0,A0/AC,AC/A1,A1,A0/A1,Mdot0,MdotC,Mdot0 - MdotC,EtaKE,,P1,Pt1,T1,Tt1,M1,Gamma1,V1,,DeltaH2,A2,PR-NS,P2/P1,,Faxial,Cfaxial,Fnormal,Cfnormal
Input,Input,Input,Input,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,,Fixed,Calculated,Derived,Fixed,Fixed,Derived,Derived,Calculated,Derived,Calculated,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,,Calculated,Fixed,Calculated,Calculated,,Calculated,Derived,Calculated,Derived
4,-4,0,1500,62514,0.9301,148.2,390.0,1593,1.410,3886,,285.0,177.9,0.6244,7.737,36.85,4.829,49.51,30.91,18.60,0.9729,,13.76,111.2,911.2,1593,2.016,1.381,2963,,0.223,36.85,4.561,3.649,,-547.2,-0.184,702.2,0.237
4,-2,0,1500,62514,0.9301,148.2,390.0,1593,1.410,3886,,285.0,196.4,0.6892,7.737,36.85,5.330,49.51,34.12,15.39,0.9722,,16.67,110.3,962.8,1593,1.890,1.378,2853,,0.212,36.85,3.983,3.186,,-668.7,-0.225,918.7,0.309
4,0,0,1500,62514,0.9301,148.2,390.0,1593,1.410,3886,,285.0,215.0,0.7543,7.737,36.85,5.834,49.51,37.35,12.16,0.9717,,20.02,109.7,1014,1593,1.770,1.375,2739,,0.201,36.85,3.466,2.773,,-787.7,-0.265,1134.9,0.382
4,2,0,1500,62514,0.9301,148.2,390.0,1593,1.410,3886,,285.0,233.4,0.8189,7.737,36.85,6.333,49.51,40.54,8.97,0.9705,,24.09,108.4,1069,1593,1.643,1.372,2607,,0.190,36.85,2.955,2.364,,-912.6,-0.307,1351.7,0.455
4,4,0,1500,62514,0.9301,148.2,390.0,1593,1.410,3886,,285.0,252.4,0.8855,7.737,36.85,6.848,49.51,43.84,5.67,0.9680,,29.96,105.5,1143,1593,1.478,1.368,2422,,0.133,36.85,2.361,1.888,,-875.9,-0.295,1728.8,0.582
4,6,0,1500,62514,0.9301,148.2,390.0,1593,1.410,3886,,285.0,271.4,0.9521,7.737,36.85,7.363,49.51,47.14,2.37,0.9670,,37.53,104.4,1218,1593,1.312,1.365,2215,,0.116,36.85,1.816,1.453,,-976.1,-0.329,1967.1,0.663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,-4,0,1500,67448,0.7347,229.4,390.9,1894,1.410,4376,,285.0,184.7,0.6479,7.737,36.85,5.011,43.95,28.48,15.47,0.9746,,10.61,164.3,918.5,1893,2.420,1.381,3570,,0.447,36.85,6.635,5.308,,-463.7,-0.156,449.4,0.151
4.5,-2,0,1500,67448,0.7347,229.4,390.9,1894,1.410,4376,,285.0,205.8,0.7220,7.737,36.85,5.584,43.95,31.73,12.22,0.9735,,12.85,162.1,971.7,1893,2.293,1.378,3476,,0.427,36.85,5.931,4.745,,-572.3,-0.193,797.3,0.269
4.5,0,0,1500,67448,0.7347,229.4,390.9,1894,1.410,4376,,285.0,226.9,0.7963,7.737,36.85,6.158,43.95,35.00,8.95,0.9728,,15.31,160.5,1022,1893,2.178,1.375,3383,,0.409,36.85,5.328,4.263,,-685.7,-0.231,904.5,0.305
4.5,2,0,1500,67448,0.7347,229.4,390.9,1894,1.410,4376,,285.0,248.2,0.8710,7.737,36.85,6.736,43.95,38.28,5.67,0.9718,,18.14,158.3,1075,1893,2.065,1.372,3285,,0.376,36.85,4.764,3.812,,-758.3,-0.255,2385,0.803
4.5,4,0,1500,67448,0.7347,229.4,390.9,1894,1.410,4376,,285.0,269.2,0.9445,7.737,36.85,7.304,43.95,41.51,2.44,0.9693,,21.60,153.3,1136,1893,1.936,1.369,3163,,0.349,36.85,4.160,3.328,,-837.4,-0.282,1434,0.483
4.5,6,0,1500,67448,0.7347,229.4,390.9,1894,1.410,4376,,285.0,290.7,1.0200,7.737,36.85,7.888,43.95,44.83,-0.88,0.9684,,25.29,151.4,1189,1893,1.829,1.366,3054,,0.320,36.85,3.690,2.952,,-917.5,-0.309,2280,0.768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-4,0,1500,71885,0.5951,352.1,393.3,2231,1.410,4878,,285.0,191.4,0.6715,7.737,36.85,5.193,39.43,26.48,12.95,0.9762,,8.669,241.3,937.2,2228,2.781,1.380,4143,,0.671,36.85,8.809,7.047,,-380.1,-0.128,196.7,0.066
5,-2,0,1500,71885,0.5951,352.1,393.3,2231,1.410,4878,,285.0,215.1,0.7548,7.737,36.85,5.837,39.43,29.76,9.67,0.9749,,10.58,236.3,995.7,2228,2.643,1.376,4054,,0.642,36.85,7.933,6.346,,-475.9,-0.160,676.0,0.228
5,0,0,1500,71885,0.5951,352.1,393.3,2231,1.410,4878,,285.0,238.9,0.8382,7.737,36.85,6.482,39.43,33.05,6.38,0.9739,,12.66,232.5,1050,2229,2.522,1.373,3969,,0.617,36.85,7.196,5.757,,-583.7,-0.197,674.1,0.227
5,2,0,1500,71885,0.5951,352.1,393.3,2231,1.410,4878,,285.0,263.1,0.9232,7.737,36.85,7.139,39.43,36.41,3.03,0.9731,,14.98,229.2,1103,2229,2.410,1.371,3883,,0.561,36.85,6.551,5.241,,-603.9,-0.203,3418,1.151
5,4,0,1500,71885,0.5951,352.1,393.3,2231,1.410,4878,,285.0,286.0,1.0035,7.737,36.85,7.760,39.43,39.57,-0.14,0.9707,,17.67,220.7,1166,2229,2.286,1.367,3780,,0.565,36.85,5.860,4.688,,-798.8,-0.269,1140,0.384
5,6,0,1500,71885,0.5951,352.1,393.3,2231,1.410,4878,,285.0,310.1,1.0879,7.737,36.85,8.413,39.43,42.90,-3.47,0.9699,,20.48,217.8,1217,2229,2.187,1.365,3692,,0.524,36.85,5.347,4.278,,-858.9,-0.289,2593,0.873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,-4,0,1500,75924,0.4919,534.3,395.5,2593,1.410,5380,,285.0,198.6,0.6970,7.737,36.85,5.390,35.75,24.92,10.83,0.9773,,7.349,353.4,957.0,2588,3.121,1.379,4697,,1.441,36.85,11.026,7.948,,-339.1,-0.114,172.9,0.058
5.5,-2,0,1500,75924,0.4919,534.3,395.5,2593,1.410,5380,,285.0,224.3,0.7872,7.737,36.85,6.087,35.75,28.14,7.61,0.9757,,9.023,342.6,1021,2589,2.970,1.375,4611,,1.413,36.85,9.952,7.422,,-430.1,-0.145,480.0,0.162
5.5,0,0,1500,75924,0.4919,534.3,395.5,2593,1.410,5380,,285.0,250.1,0.8777,7.737,36.85,6.787,35.75,31.38,4.37,0.9741,,10.88,332.2,1083,2589,2.834,1.372,4525,,1.372,36.85,9.024,6.967,,-527.7,-0.178,542.5,0.183
5.5,2,0,1500,75924,0.4919,534.3,395.5,2593,1.410,5380,,285.0,276.7,0.9707,7.737,36.85,7.507,35.75,34.70,1.05,0.9735,,12.84,327.8,1137,2589,2.722,1.369,4449,,1.343,36.85,8.296,6.608,,-576.5,-0.194,1976,0.666
5.5,4,0,1500,75924,0.4919,534.3,395.5,2593,1.410,5380,,285.0,300.9,1.0557,7.737,36.85,8.164,35.75,37.74,-1.99,0.9704,,15.20,309.5,1208,2589,2.583,1.365,4346,,1.342,36.85,7.436,5.949,,-723.4,-0.244,921.0,0.310
5.5,6,0,1500,75924,0.4919,534.3,395.5,2593,1.410,5380,,285.0,327.1,1.1479,7.737,36.85,8.877,35.75,41.04,-5.29,0.9693,,17.61,303.4,1263,2589,2.481,1.362,4263,,1.303,36.85,6.834,5.467,,-794.3,-0.268,1708,0.575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-4,0,1500,79633,0.4133,801.2,397.5,2980,1.410,5884,,285.0,205.9,0.7225,7.737,36.85,5.587,32.69,23.61,9.07,0.9785,,6.386,512.4,978.9,2973,3.444,1.377,5240,,2.210,36.85,13.350,8.027,,-298.0,-0.100,149.2,0.050
6,-2,0,1500,79633,0.4133,801.2,397.5,2980,1.410,5884,,285.0,233.6,0.8195,7.737,36.85,6.338,32.69,26.79,5.90,0.9765,,7.904,490.4,1050,2973,3.275,1.373,5153,,2.184,36.85,12.034,7.473,,-384.4,-0.129,284.1,0.096
6,0,0,1500,79633,0.4133,801.2,397.5,2980,1.410,5884,,285.0,261.4,0.9171,7.737,36.85,7.092,32.69,29.98,2.71,0.9743,,9.623,466.6,1123,2973,3.117,1.369,5064,,2.127,36.85,10.863,6.977,,-471.7,-0.159,410.8,0.138
6,2,0,1500,79633,0.4133,801.2,397.5,2980,1.410,5884,,285.0,290.2,1.0183,7.737,36.85,7.875,32.69,33.28,-0.60,0.9738,,11.36,461.4,1178,2973,3.005,1.367,4994,,2.125,36.85,10.055,6.638,,-549.1,-0.185,534.2,0.180
6,4,0,1500,79633,0.4133,801.2,397.5,2980,1.410,5884,,285.0,315.7,1.1079,7.737,36.85,8.568,32.69,36.21,-3.53,0.9700,,13.54,425.3,1261,2973,2.845,1.362,4885,,2.119,36.85,8.972,6.175,,-647.9,-0.218,702.2,0.237
6,6,0,1500,79633,0.4133,801.2,397.5,2980,1.410,5884,,285.0,344.2,1.2078,7.737,36.85,9.341,32.69,39.48,-6.79,0.9687,,15.74,413.5,1322,2973,2.735,1.359,4804,,2.082,36.85,8.263,5.871,,-729.7,-0.246,823.7,0.277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,-4,0,1500,83062,0.3522,1187.6,399.4,3388,1.410,6389,,285.0,213.3,0.7484,7.737,36.85,5.788,30.10,22.53,7.57,0.9818,,5.484,784.9,975.1,3377,3.821,1.378,5802,,3.212,36.85,16.289,8.280,,-251.0,-0.085,122.2,0.041
6.5,-2,0,1500,83062,0.3522,1187.6,399.4,3388,1.410,6389,,285.0,240.9,0.8452,7.737,36.85,6.536,30.10,25.44,4.66,0.9782,,6.840,721.6,1060,3376,3.612,1.373,5709,,3.558,36.85,14.432,7.617,,-341.6,-0.115,254.7,0.086
6.5,0,0,1500,83062,0.3522,1187.6,399.4,3388,1.410,6389,,285.0,268.8,0.9432,7.737,36.85,7.294,30.10,28.39,1.71,0.9741,,8.410,660.3,1147,3374,3.417,1.368,5608,,4.178,36.85,12.731,7.036,,-435.5,-0.147,380.6,0.128
6.5,2,0,1500,83062,0.3522,1187.6,399.4,3388,1.410,6389,,285.0,297.0,1.0421,7.737,36.85,8.059,30.10,31.37,-1.27,0.9720,,10.03,626.0,1220,3374,3.268,1.364,5524,,4.140,36.85,11.603,6.615,,-513.1,-0.173,512.5,0.173
6.5,4,0,1500,83062,0.3522,1187.6,399.4,3388,1.410,6389,,285.0,322.9,1.1331,7.737,36.85,8.763,30.10,34.11,-4.01,0.9670,,12.03,561.1,1318,3373,3.084,1.360,5407,,4.608,36.85,10.199,6.114,,-618.3,-0.208,657.7,0.222
6.5,6,0,1500,83062,0.3522,1187.6,399.4,3388,1.410,6389,,285.0,351.2,1.2321,7.737,36.85,9.529,30.10,37.09,-6.99,0.9639,,14.16,525.1,1399,3372,2.941,1.356,5306,,4.943,36.85,9.180,5.748,,-703.8,-0.237,784.6,0.264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-4,0,1500,86253,0.3036,1742.8,401.1,3815,1.410,6896,,285.0,220.7,0.7744,7.737,36.85,5.988,27.89,21.60,6.29,0.9851,,4.742,1216,964.7,3801,4.212,1.378,6363,,4.214,36.85,19.644,8.565,,-204.0,-0.069,95.3,0.032
7,-2,0,1500,86253,0.3036,1742.8,401.1,3815,1.410,6896,,285.0,248.2,0.8708,7.737,36.85,6.734,27.89,24.29,3.60,0.9799,,6.000,1059,1068,3799,3.945,1.372,6258,,4.932,36.85,16.997,7.748,,-298.8,-0.101,225.3,0.076
7,0,0,1500,86253,0.3036,1742.8,401.1,3815,1.410,6896,,285.0,276.2,0.9692,7.737,36.85,7.496,27.89,27.03,0.86,0.9739,,7.509,917.3,1178,3795,3.694,1.367,6140,,6.230,36.85,14.564,7.034,,-399.3,-0.134,350.4,0.118
7,2,0,1500,86253,0.3036,1742.8,401.1,3815,1.410,6896,,285.0,303.8,1.0658,7.737,36.85,8.242,27.89,29.73,-1.84,0.9702,,9.091,824.9,1275,3795,3.497,1.362,6037,,6.156,36.85,13.017,6.504,,-477.2,-0.161,490.8,0.165
7,4,0,1500,86253,0.3036,1742.8,401.1,3815,1.410,6896,,285.0,330.1,1.1583,7.737,36.85,8.958,27.89,32.30,-4.41,0.9641,,11.03,713.8,1393,3792,3.280,1.356,5905,,7.097,36.85,11.238,5.956,,-588.7,-0.198,613.1,0.207
7,6,0,1500,86253,0.3036,1742.8,401.1,3815,1.410,6896,,285.0,358.1,1.2564,7.737,36.85,9.717,27.89,35.04,-7.15,0.9591,,13.20,636.7,1503,3790,3.095,1.351,5778,,7.803,36.85,9.853,5.515,,-677.9,-0.228,745.4,0.251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
